Scratch_Weights,Transfer_Weights
0.020961683,-0.05347426
-0.08345392,-0.049257044
0.11971357,-0.06794177
-0.044839296,0.015314446
0.15431155,0.04506842
0.028342118,0.002144398
0.13173722,0.03622622
0.05536242,0.019999448
0.03943108,0.019864023
-0.0026318647,0.017014775
-0.1515194,0.055402607
-0.14788729,-0.0062293
-0.006154469,0.14164735
0.018165966,0.22705214
-0.09809187,0.13758276
-0.114897475,0.120000936
-0.08071737,0.2002953
0.17004697,0.092114314
-0.022567451,-0.044885147
-0.06171208,0.012679954
-0.14964388,-0.014497219
0.09251858,0.059742384
0.104178384,0.13954678
-0.15233181,0.05410246
-0.015712636,-0.00096140587
-0.089236274,0.058304
-0.17497002,-0.029663155
-0.00011390623,0.2607192
0.000508047,-0.30489096
0.075701594,-0.50151926
-0.00011966463,0.4137649
-0.03975387,-0.20830649
0.14565888,-0.49086165
0.026205132,0.58770466
-0.096717216,0.42850932
-0.01970252,-0.13849954
-0.18971749,0.28745946
-0.07317618,-0.33337757
-0.009919937,-0.455642
0.18389075,0.3783639
-0.02896086,-0.29144284
0.056356672,-0.49720347
0.0045505366,0.54778373
0.050871324,0.48983255
-0.030724972,-0.17165971
0.102911584,0.06725983
0.10366086,-0.09538631
-0.044161133,-0.038037468
0.14234205,0.06195455
-0.1023259,-0.13125293
-0.017625595,-0.106913984
0.188242,0.048106834
-0.016865097,0.22999452
-0.15263534,-0.030578233
0.1597788,-0.032456636
0.06889106,0.1628082
0.004624203,0.059686888
-0.17069925,0.13959558
0.19004482,0.3773214
-0.11657549,0.23203932
0.07279296,0.030061698
0.09765212,0.19476035
-0.091754206,0.08527603
-0.030029077,-0.09540565
-0.0558609,0.09607242
0.13511023,-0.025563814
-0.09724465,0.023298707
0.18241234,0.28449568
0.06857451,0.09469722
-0.13388768,-0.14334984
0.062072013,-6.858709e-05
-0.03231282,-0.10201706
0.15814205,-0.12479666
0.11030583,0.05240283
-0.17908482,-0.026686734
0.08705145,-0.041413527
-0.09128847,0.1793507
-0.054084904,0.049904805
-0.09984419,-0.11839431
0.17790423,-0.020942433
-0.18076949,-0.10206841
-0.18038608,0.05189619
-0.1041121,-0.051161263
-0.1043953,-0.063859574
0.026159707,0.36627063
-0.032827638,0.031180717
-0.13336083,-0.3250742
-0.112268046,0.27276486
-0.16450876,0.016340282
-0.06107425,-0.28324756
0.10644786,0.11036662
0.14370726,-0.1023009
-0.18406081,-0.22513911
0.0778688,0.4718943
0.08351715,0.02776273
-0.08099079,-0.4344606
-0.09490713,0.40028483
-0.103162795,0.04106744
-0.09379794,-0.35732093
-0.047845412,0.055504784
0.08903943,-0.09181406
-0.03361218,-0.033817098
-0.12831932,0.29405436
0.17169915,0.01043809
-0.16209379,-0.27161434
0.14012939,0.21596052
0.061542172,0.01198777
0.101802416,-0.17146645
0.03650207,0.32665598
0.15862799,0.1567078
0.057863995,0.06586424
-0.009342491,0.18697475
-0.14637294,-0.09560021
0.174002,-0.09401077
0.18869925,0.122537315
-0.020171886,-0.055917576
-0.014942524,-0.06119099
-0.040876254,0.25442302
0.16656193,0.0071147047
0.15682727,-0.096991256
-0.08512055,0.074458055
0.1841799,-0.32500544
0.16537417,-0.3215391
-0.107716724,-0.002961522
0.13451654,-0.27468115
-0.051430028,-0.2497917
-0.12932909,0.13886863
-0.02553016,0.0014895152
0.033537365,-0.002100872
-0.14926547,0.0048558027
0.09865456,-0.18442395
0.11503501,-0.15752639
-0.037030928,0.04792805
0.16012953,-0.11734822
-0.060869355,-0.12622648
0.1605792,-0.05355792
0.022817975,-0.25140417
0.02868925,-0.33377212
0.052247446,-0.039370287
0.04881686,-0.2243468
0.071606845,-0.26778582
0.09749646,0.12670718
0.13083583,-0.06033928
-0.07654896,-0.06492402
0.15848784,0.1042385
-0.16362403,-0.0895395
-0.1262395,-0.17165123
-0.11642636,0.14367178
-0.12692113,-0.017553
-0.17936432,-0.05871847
-0.06108666,0.24823077
-0.1248273,0.11537317
0.06217385,0.10321497
-0.10083016,0.070559114
-0.050177198,0.046375185
0.1905355,0.044279728
-0.10988129,0.027679404
-0.1515617,-0.0049156193
-0.09919562,0.049099315
-0.13496816,0.057435255
0.0008571071,0.023989717
0.056173023,0.077452324
-0.102660894,0.57369286
0.08367742,0.6367849
-0.005147621,0.31393358
-0.08570665,0.16077687
-0.18214929,0.024724776
-0.16200879,-0.12479664
