Scratch_Weights,Transfer_Weights
-0.18814985,-0.05347426
0.17104389,-0.049257044
0.12350216,-0.06794177
-0.13364741,0.015314446
0.13931048,0.04506842
-0.045978658,0.002144398
-0.10570943,0.03622622
-0.15204675,0.019999448
0.06922365,0.019864023
0.08790188,0.017014775
0.04545402,0.055402607
0.15016475,-0.0062293
-0.16635448,0.14164735
-0.08705593,0.22705214
0.149991,0.13758276
0.14167173,0.120000936
0.124333985,0.2002953
-0.17345694,0.092114314
0.06777276,-0.044885147
0.03865959,0.012679954
0.12186379,-0.014497219
0.10158227,0.059742384
0.10110367,0.13954678
-0.05378473,0.05410246
-0.029040996,-0.00096140587
-0.11254224,0.058304
0.05596299,-0.029663155
0.0129119195,0.2607192
0.10713006,-0.30489096
0.009745647,-0.50151926
0.13884029,0.4137649
0.18986888,-0.20830649
0.08969807,-0.49086165
0.13143662,0.58770466
0.16836481,0.42850932
0.10280685,-0.13849954
-0.03946923,0.28745946
0.15077877,-0.33337757
0.15304545,-0.455642
-0.09064495,0.3783639
0.17466138,-0.29144284
-0.019011168,-0.49720347
-0.0076852175,0.54778373
-0.104980774,0.48983255
-0.1242189,-0.17165971
0.04367548,0.06725983
-0.08729255,-0.09538631
-0.16324197,-0.038037468
0.092705466,0.06195455
0.11014007,-0.13125293
0.19105253,-0.106913984
-0.18328859,0.048106834
-0.013093641,0.22999452
-0.08906933,-0.030578233
-0.021723352,-0.032456636
0.081429146,0.1628082
-0.088981226,0.059686888
-0.16598777,0.13959558
-0.1647335,0.3773214
0.06367799,0.23203932
0.063999996,0.030061698
-0.1495985,0.19476035
-0.098444,0.08527603
-0.020729305,-0.09540565
-0.1033478,0.09607242
0.026765555,-0.025563814
-0.10635506,0.023298707
0.16024071,0.28449568
-0.15704922,0.09469722
-0.18391056,-0.14334984
-0.07147103,-6.858709e-05
0.011573102,-0.10201706
-0.09774304,-0.12479666
0.15715928,0.05240283
-0.012380747,-0.026686734
0.17149507,-0.041413527
-0.12180992,0.1793507
-0.010488734,0.049904805
-0.111860804,-0.11839431
0.1468362,-0.020942433
0.15117492,-0.10206841
-0.09172812,0.05189619
